season,number,production_code,episode_title,guest_star,role,sector
22,478–2214,NABF07,Angry Dad: The Movie,Nick Park,Himself,Animator/Director
22,480–2216,NABF09,A Midsummer's Nice Dream,Tommy Chong,Himself,Comedian/Actor
22,480–2216,NABF09,A Midsummer's Nice Dream,Cheech Marin,Himself,Comedian/Actor
22,481–2217,NABF10,Love Is a Many Strangled Thing,Kareem Abdul-Jabbar,Himself,Athlete (Basketball)
22,482–2218,NABF11,The Great Simpsina,David Copperfield,Himself,Magician
22,482–2218,NABF11,The Great Simpsina,Ricky Jay,Himself,Magician/Actor
22,482–2218,NABF11,The Great Simpsina,Penn Jillette,Himself,Magician
22,482–2218,NABF11,The Great Simpsina,Teller,Himself,Magician
22,486–2222,NABF15,The Ned-Liest Catch,Ken Burns,Himself,Documentarian
22,486–2222,NABF15,The Ned-Liest Catch,Joey Kramer,Himself,Musician
23,487–2301,NABF16,The Falcon and the D'ohman,Tom Colicchio,Himself,Chef
23,488–2302,NABF17,Bart Stops to Smell the Roosevelts,Theodore Roosevelt (archival),Himself,Politician
23,491–2305,NABF20,The Food Wife,Mario Batali,Himself,Chef
23,491–2305,NABF20,The Food Wife,Anthony Bourdain,Himself,Chef/Author
23,491–2305,NABF20,The Food Wife,Gordon Ramsay,Himself,Chef
23,492–2306,NABF22,The Book Job,Neil Gaiman,Himself,Author
23,494–2308,PABF02,The Ten-Per-Cent Solution,Kevin Dillon,Himself,Actor
23,494–2308,PABF02,The Ten-Per-Cent Solution,Janeane Garofalo,Herself,Actress/Comedian
23,496–2310,PABF03,"Politically Inept, with Homer Simpson",Ted Nugent,Himself,Musician
23,497–2311,PABF04,The D'oh-cial Network,David Letterman,Himself,TV Host
23,499–2313,PABF06,The Daughter Also Rises,Jamie Hyneman,Himself,Special Effects Specialist/TV Host
23,499–2313,PABF06,The Daughter Also Rises,Adam Savage,Himself,Special Effects Specialist/TV Host
23,500–2314,PABF07,At Long Last Leave,Julian Assange,Himself,Activist/Journalist
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Robbie Conal,Himself,Artist
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Ron English,Himself,Artist
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Shepard Fairey,Himself,Artist
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Kenny Scharf,Himself,Artist
23,505–2319,PABF12,A Totally Fun Thing That Bart Will Never Do Again,Treat Williams,Himself,Actor
23,508–2322,PABF14,Lisa Goes Gaga,Lady Gaga,Herself,Singer/Musician
24,509–2401,PABF21,Moonshine River,Don Pardo,Himself,TV Announcer
24,509–2401,PABF21,Moonshine River,Al Roker,Himself,Weather Anchor/TV Personality
24,511–2403,PABF18,Adventures in Baby-Getting,Jeff Gordon,Himself,Athlete (Racing Driver)
24,512–2404,PABF15,Gone Abie Gone,Marvin Hamlisch,Himself,Composer
24,512–2404,PABF15,Gone Abie Gone,Jennifer Tilly,Herself,Actress/Poker Player
24,513–2405,PABF19,Penny-Wiseguys,Alex Trebek,Himself,TV Host
24,515–2407,PABF20,The Day the Earth Stood Cool,Colin Meloy,Himself,Musician
24,520–2412,RABF07,Love is a Many-Splintered Thing,Robert A. Caro,Himself,Author/Journalist
24,520–2412,RABF07,Love is a Many-Splintered Thing,Max Weinberg,Himself,Musician
24,523–2415,RABF09,"Black Eyed, Please",Richard Dawkins,Himself,Evolutionary Biologist/Author
24,524–2416,RABF10,Dark Knight Court,Janet Reno,Herself,Politician/Lawyer
24,527–2419,RABF13,Whiskey Business,Sonny Rollins,Himself,Musician (Jazz)
24,528–2420,RABF12,The Fabulous Faker Boy,Justin Bieber,Himself,Singer
25,533–2503,RABF18,Four Regrettings and a Funeral,Rachel Maddow,Herself,Journalist/TV Host
25,533–2503,RABF18,Four Regrettings and a Funeral,Joe Namath,Himself,Athlete (American Football)
25,536–2506,SABF02,The Kid Is All Right,Anderson Cooper,Himself,Journalist
25,539–2509,SABF05,Steal This Episode,Judd Apatow,Himself,Director/Producer
