number,production_code,episode_title,guest_star,role,sector
360–1704,GABF17,Treehouse of Horror XVI,Terry Bradshaw,Himself,Athlete
360–1704,GABF17,Treehouse of Horror XVI,Dennis Rodman,Himself,Athlete
366–1710,HABF03,Homer's Paternity Coot,Joe Frazier,Himself,Athlete
366–1710,HABF03,Homer's Paternity Coot,William H. Macy,Himself,Actor
370–1714,HABF07,Bart Has Two Mommies,Randy Johnson,Himself,Athlete
370–1714,HABF07,Bart Has Two Mommies,Susan Sarandon,Herself,Actor
372–1716,HABF09,Million Dollar Abie,Rob Reiner,Himself,Filmmaker
373–1717,HABF10,"Kiss Kiss, Bang Bangalore",Richard Dean Anderson,Himself,Actor
376–1720,HABF13,Regarding Margie,Sal Bando,Himself,Athlete
376–1720,HABF13,Regarding Margie,Gene Tenace,Himself,Athlete
377–1721,HABF14,The Monkey Suit,Melanie Griffith,Herself,Actor
382–1804,HABF17,Treehouse of Horror XVII,Phil McGraw,Himself,Science & Education
384–1806,HABF19,Moe'N'a Lisa,Michael Chabon,Himself,Writer
384–1806,HABF19,Moe'N'a Lisa,Jonathan Franzen,Himself,Writer
384–1806,HABF19,Moe'N'a Lisa,Gore Vidal,Himself,Writer
384–1806,HABF19,Moe'N'a Lisa,Tom Wolfe,Himself,Writer
387–1809,JABF01,"Kill Gil, Volumes I & II",Elvis Stojko,Himself,Athlete
392–1814,JABF09,Yokel Chords,Andy Dick,Himself,Actor
392–1814,JABF09,Yokel Chords,James Patterson,Himself,Writer
392–1814,JABF09,Yokel Chords,Stephen Sondheim,Himself,Musician
394–1816,JABF06,Homerazzi,Betty White,Herself,Actor
395–1817,JABF10,Marge Gamer,Ronaldo,Himself,Athlete
398–1818,JABF12,Stop or My Dog Will Shoot,Rudy Giuliani,Himself,Politician
398–1818,JABF12,Stop or My Dog Will Shoot,Stephen Hawking,Himself,Science & Education
400–1822,JABF15,You Kent Always Say What You Want,Ludacris,Himself,Musician
M1,—,The Simpsons Movie,Tom Hanks,Himself,Actor
401–1901,JABF20,He Loves to Fly and He D'ohs,Lionel Richie,Himself,Musician
402–1902,JABF18,Homer of Seville,Plácido Domingo,Himself,Musician
404–1904,JABF19,I Don't Wanna Know Why the Caged Bird Sings,Ted Nugent,Himself,Musician
407–1907,JABF17,Husbands and Knives,Daniel Clowes,Himself,Artist
407–1907,JABF17,Husbands and Knives,Alan Moore,Himself,Writer
407–1907,JABF17,Husbands and Knives,Art Spiegelman,Himself,Artist
408–1908,KABF01,Funeral for a Fiend,Keith Olbermann,Himself,Media & Journalism
410–1910,KABF03,E Pluribus Wiggum,Dan Rather,Himself,Media & Journalism
410–1910,KABF03,E Pluribus Wiggum,Jon Stewart,Himself,Media & Journalism
411–1911,KABF04,That '90s Show,Kurt Loder,Himself,Media & Journalism
411–1911,KABF04,That 90's Show,Weird Al Yankovic,Himself,Musician
413–1913,KABF06,The Debarted,Terry Gross,Herself,Media & Journalism
418–1918,KABF11,Any Given Sundance,Jim Jarmusch,Himself,Filmmaker
418–1918,KABF11,Any Given Sundance,John C. Reilly,Himself,Actor
419–1919,KABF12,Mona Leaves-a,Lance Armstrong,Himself,Athlete
420–1920,KABF13,All About Lisa,Drew Carey,Himself,Media & Journalism
422–2002,KABF15,Lost Verizon,Brian Grazer,Himself,Filmmaker
422–2002,KABF15,Lost Verizon,Denis Leary,Himself,Actor
423–2003,KABF14,"Double, Double, Boy in Trouble",Joe Montana,Himself,Athlete
426–2006,KABF19,Homer and Lisa Exchange Cross Words,Merl Reagle,Himself,Crossword Constructor
426–2006,KABF19,Homer and Lisa Exchange Cross Words,Will Shortz,Himself,Crossword Editor
428–2008,KABF21,The Burns and the Bees,Marv Albert,Himself,Media & Journalism
428–2008,KABF21,The Burns and the Bees,Jeff Bezos,Himself,Business & Tech
428–2008,KABF21,The Burns and the Bees,Mark Cuban,Himself,Business & Tech
433–2013,LABF04,Gone Maggie Gone,"Ed Begley, Jr.",Himself,Actor
442–2101,LABF13,Homer the Whopper,Matt Groening,Himself,Artist
444–2103,LABF16,The Great Wife Hope,Chuck Liddell,Himself,Athlete
449–2108,MABF01,"O Brother, Where Bart Thou?",Huell Howser,Himself,Media & Journalism
449–2108,MABF01,"O Brother, Where Bart Thou?",Cooper Manning,Himself,Media & Journalism
449–2108,MABF01,"O Brother, Where Bart Thou?",Eli Manning,Himself,Athlete
449–2108,MABF01,"O Brother, Where Bart Thou?",Peyton Manning,Himself,Athlete
450–2109,MABF02,Thursdays with Abie,Mitch Albom,Himself,Writer
451–2110,LABF20,Once Upon a Time in Springfield,Eartha Kitt,Herself,Musician
451–2110,LABF20,Once Upon a Time in Springfield,Gary Larson,Himself,Artist
452–2111,MABF03,Million Dollar Maybe,Chris Martin,Himself,Musician
453–2112,MABF05,Boy Meets Curl,Bob Costas,Himself,Media & Journalism
462–2121,MABF13,Moe Letter Blues,Don Pardo,Himself,Media & Journalism
464–2123,MABF15,Judge Me Tender,Simon Cowell,Himself,Media & Journalism
464–2123,MABF15,Judge Me Tender,Ellen DeGeneres,Herself,Media & Journalism
464–2123,MABF15,Judge Me Tender,Kara DioGuardi,Herself,Musician
464–2123,MABF15,Judge Me Tender,Randy Jackson,Himself,Musician
464–2123,MABF15,Judge Me Tender,Rupert Murdoch,Himself,Business & Tech
464–2123,MABF15,Judge Me Tender,Ryan Seacrest,Himself,Media & Journalism
465–2201,MABF21,Elementary School Musical,Ira Glass,Himself,Media & Journalism
465–2201,MABF21,Elementary School Musical,Stephen Hawking,Himself,Science & Education
466–2202,MABF17,Loan-a Lisa,Chris Hansen,Himself,Media & Journalism
466–2202,MABF17,Loan-a Lisa,Muhammad Yunus,Himself,Science & Education
466–2202,MABF17,Loan-a Lisa,Mark Zuckerberg,Himself,Business & Tech
467–2203,MABF18,MoneyBART,Bill James,Himself,Sports Executive
467–2203,MABF18,MoneyBART,Mike Scioscia,Himself,Sports Executive
471–2207,NABF02,How Munched is That Birdie in the Window?,Danica Patrick,Herself,Athlete
472–2208,MABF22,The Fight Before Christmas,Martha Stewart,Herself,Business & Tech
476–2212,NABF05,Homer the Father,James Lipton,Himself,Media & Journalism
476–2212,NABF05,Homer the Father,David Mamet,Himself,Writer
478–2214,NABF07,Angry Dad: The Movie,Halle Berry,Herself,Actor
478–2214,NABF07,Angry Dad: The Movie,Russell Brand,Himself,Actor
478–2214,NABF07,Angry Dad: The Movie,Ricky Gervais,Himself,Actor
478–2214,NABF07,Angry Dad: The Movie,Nick Park,Himself,Artist
480–2216,NABF09,A Midsummer's Nice Dream,Tommy Chong,Himself,Actor
480–2216,NABF09,A Midsummer's Nice Dream,Cheech Marin,Himself,Actor
481–2217,NABF10,Love Is a Many Strangled Thing,Kareem Abdul-Jabbar,Himself,Athlete
482–2218,NABF11,The Great Simpsina,David Copperfield,Himself,Entertainer
482–2218,NABF11,The Great Simpsina,Ricky Jay,Himself,Entertainer
482–2218,NABF11,The Great Simpsina,Penn Jillette,Himself,Entertainer
482–2218,NABF11,The Great Simpsina,Teller,Himself,Entertainer
